Brand,Model,Year,miles,money
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
Toyota,4Runner,2019,"55,257","37,591"
Dodge,Challenger,2022,"98,078","39,494"
Ford,Explorer,2020,"25,134","33,789"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Jeep,Grand Cherokee,2014,"24,744","13,575"
Kia,Sorento,2020,"55,257","22,593"
Ford,F-150,2018,"176,448","31,998"
Ford,Explorer,2021,"107,319","33,991"
MINI,Countryman,2014,"69,925","12,997"
Toyota,4Runner,2019,"98,078","37,591"
Chevrolet,Silverado 1500,2018,"123,460","31,528"
Toyota,Prius,2011,"25,134","10,215"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"176,448","18,995"
Dodge,Charger,2015,"42,058","18,946"
Ford,F-150,2018,"69,925","31,998"
Subaru,Tribeca,2012,"24,744","8,999"
Honda,Civic,2013,"25,134","13,799"
Ford,Mustang,2021,"55,257","25,998"
Hyundai,Sonata,2018,"98,078","14,898"
Toyota,Tacoma,2017,"123,460","15,995"
Nissan,Sentra,2020,"107,319","18,995"
Dodge,Charger,2015,"24,744","18,946"
BMW,3 Series,2015,"69,925","17,700"
MINI,Countryman,2014,"13,605","12,997"
Ford,Explorer,2021,"123,460","33,991"
